2024-06-23 21:56:24 - Order events [contract=BTCUSDT, order_id=4045036910, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=65519.5, last_filled_qty=0.014, canceled_reason=None]
2024-06-23 21:56:39 - Order events [contract=BTCUSDT, order_id=4045036918, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65770.1, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:56:39 - Order events [contract=BTCUSDT, order_id=4045036927, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=65519.5, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:57:18 - Order events [contract=BTCUSDT, order_id=4045036957, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65770.1, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:57:39 - Order events [contract=BTCUSDT, order_id=4045036982, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65770.1, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:57:42 - Order events [contract=BTCUSDT, order_id=4045037008, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65770.1, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:57:44 - Order events [contract=BTCUSDT, order_id=4045037014, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65770.1, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:57:46 - Order events [contract=BTCUSDT, order_id=4045037020, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65770.1, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:57:48 - Order events [contract=BTCUSDT, order_id=4045037025, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65770.1, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:58:15 - Order events [contract=BTCUSDT, order_id=4045037043, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65770.1, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:58:31 - Order events [contract=BTCUSDT, order_id=4045037069, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65770.1, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:59:10 - Order events [contract=BTCUSDT, order_id=4045037082, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=65770.1, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:59:11 - Order events [contract=BTCUSDT, order_id=4045037128, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=65599.8, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:59:13 - Order events [contract=BTCUSDT, order_id=4045037133, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=65599.8, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:59:23 - Order events [contract=BTCUSDT, order_id=4045037148, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=65599.8, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:59:24 - Order events [contract=BTCUSDT, order_id=4045037150, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=65599.8, last_filled_qty=0.001, canceled_reason=None]
2024-06-23 21:59:24 - Order events [contract=BTCUSDT, order_id=4045037150, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=65519.5, last_filled_qty=0.001, canceled_reason=None]
2024-06-23 21:59:29 - Order events [contract=BTCUSDT, order_id=4045037154, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=65599.8, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:59:30 - Order events [contract=BTCUSDT, order_id=4045037160, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=65529.5, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 21:59:36 - Order events [contract=BTCUSDT, order_id=4045037162, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=65529.5, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 22:01:04 - Order events [contract=BTCUSDT, order_id=4045037476, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65879.9, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 22:01:06 - Order events [contract=BTCUSDT, order_id=4045037499, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65880.0, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 22:01:18 - Order events [contract=BTCUSDT, order_id=4045037613, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=65599.8, last_filled_qty=0.004, canceled_reason=None]
2024-06-23 22:01:20 - Order events [contract=BTCUSDT, order_id=4045037626, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65880.0, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 22:01:22 - Order events [contract=BTCUSDT, order_id=4045037637, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65796.5, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 22:01:23 - Order events [contract=BTCUSDT, order_id=4045037640, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65796.5, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 22:01:25 - Order events [contract=BTCUSDT, order_id=4045037642, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65796.5, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 22:01:27 - Order events [contract=BTCUSDT, order_id=4045037643, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65796.5, last_filled_qty=0.001, canceled_reason=None]
2024-06-23 22:01:27 - Order events [contract=BTCUSDT, order_id=4045037643, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65870.0, last_filled_qty=0.001, canceled_reason=None]
2024-06-23 22:01:42 - Order events [contract=BTCUSDT, order_id=4045037655, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65880.0, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 22:01:43 - Order events [contract=BTCUSDT, order_id=4045037658, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65880.0, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 22:01:54 - Order events [contract=BTCUSDT, order_id=4045037665, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65880.0, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 22:01:56 - Order events [contract=BTCUSDT, order_id=4045037667, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65879.9, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 22:01:58 - Order events [contract=BTCUSDT, order_id=4045037671, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65796.5, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 22:02:00 - Order events [contract=BTCUSDT, order_id=4045037673, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65796.5, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 22:02:05 - Order events [contract=BTCUSDT, order_id=4045037690, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=65529.5, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 22:02:07 - Order events [contract=BTCUSDT, order_id=4045037692, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=65529.5, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 22:02:12 - Order events [contract=BTCUSDT, order_id=4045037697, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=65599.8, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 22:02:14 - Order events [contract=BTCUSDT, order_id=4045037700, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=65599.8, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 22:02:21 - Order events [contract=BTCUSDT, order_id=4045037715, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=65599.8, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 22:02:29 - Order events [contract=BTCUSDT, order_id=4045037722, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=65699.8, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 22:02:31 - Order events [contract=BTCUSDT, order_id=4045037758, status=OrderStatus.PARTIALLY_FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=65599.8, last_filled_qty=0.001, canceled_reason=None]
2024-06-23 22:02:31 - Order events [contract=BTCUSDT, order_id=4045037758, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=65529.5, last_filled_qty=0.001, canceled_reason=None]
2024-06-23 22:02:33 - Order events [contract=BTCUSDT, order_id=4045037800, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=65529.5, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 22:02:35 - Order events [contract=BTCUSDT, order_id=4045037833, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=65599.8, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 22:02:37 - Order events [contract=BTCUSDT, order_id=4045037871, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=65529.5, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 22:02:38 - Order events [contract=BTCUSDT, order_id=4045037903, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.SELL, last_filled_price=65529.5, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 22:03:15 - Order events [contract=BTCUSDT, order_id=4045038158, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65599.8, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 22:03:21 - Order events [contract=BTCUSDT, order_id=4045038196, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65599.8, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 22:03:28 - Order events [contract=BTCUSDT, order_id=4045038220, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65599.8, last_filled_qty=0.002, canceled_reason=None]
2024-06-23 22:03:38 - Order events [contract=BTCUSDT, order_id=4045038247, status=OrderStatus.FILLED, type=ExecutionType.TRADE, side=Side.BUY, last_filled_price=65599.8, last_filled_qty=0.002, canceled_reason=None]
