,Timestamp,Open,High,Low,Close,Date,%K,%D,Slow %K,Slow %D,isLocalPeak,isLocalTrough,Label,Short_Moving_Avg,Long_Moving_Avg,RSI,MinutesSincePeak,MinutesSinceTrough,PriceChangeSincePeak,PriceChangeSinceTrough,FourierSignalSell,FourierSignalBuy,Short_Moving_Avg_1st_Deriv,Short_Moving_Avg_2nd_Deriv
50,2024-05-29 01:03:38,67683.02,67683.02,67680.0,67680.0,2024-05-29 01:03:38,0.0,3.2300325877087936,3.2300325877087936,3.315227259143397,False,False,Hold,67684.21599999999,67695.403,0.2840909090457018,5,6,-9.0,-10.989999999990687,True,True,-240.4000000009546,-6060.000000143191
51,2024-05-29 01:03:39,67680.01,67680.01,67680.0,67680.0,2024-05-29 01:03:39,0.0,1.8714100426329796,1.8714100426329796,3.131657415506321,False,False,Hold,67681.814,67693.70300000001,0.2132196161965254,6,7,-12.010000000009313,-14.0,False,True,-240.19999999873107,20.000000222353265
52,2024-05-29 01:03:40,67680.01,67680.01,67680.0,67680.0,2024-05-29 01:03:40,0.0,0.0,0.0,1.700480876780591,False,False,Hold,67681.208,67692.013,0.21337126599459566,7,8,-12.010000000009313,-14.0,True,False,-60.59999999997672,17959.999999875436
53,2024-05-29 01:03:41,67680.01,67680.01,67680.0,67680.0,2024-05-29 01:03:41,0.0,0.0,0.0,0.6238033475443265,False,False,Hold,67680.604,67690.313,0.14234875447736783,8,9,-12.010000000009313,-14.0,False,True,-60.399999999208376,20.000000076834112
54,2024-05-29 01:03:42,67680.0,67680.01,67680.0,67680.0,2024-05-29 01:03:42,0.0,0.0,0.0,0.0,False,False,Hold,67680.0,67688.85800000001,0.14234875447736783,9,10,-12.020000000004075,-14.009999999994761,True,False,-60.40000000066357,-1.4551915228366852e-07
55,2024-05-29 01:03:43,67680.0,67680.01,67680.0,67680.01,2024-05-29 01:03:43,0.0713775874001788,0.023792529133392932,0.023792529133392932,0.00793084304446431,True,False,Sell,67680.00200000001,67687.8585,0.21337126599459566,0,11,0.0,-14.009999999994761,False,False,0.20000000076834112,6060.000000143191
56,2024-05-29 01:03:44,67680.01,67680.01,67680.0,67680.0,2024-05-29 01:03:44,0.0,0.023792529133392932,0.023792529133392932,0.01586168608892862,False,True,Buy,67680.00200000001,67687.15849999999,0.21337126599459566,1,0,0.00999999999476131,0.0,False,False,0.0,-20.000000076834112
57,2024-05-29 01:03:45,67680.0,67680.01,67680.0,67680.0,2024-05-29 01:03:45,0.0,0.023792529133392932,0.023792529133392932,0.023792529133392932,False,False,Hold,67680.00200000001,67686.45800000001,0.14234875447736783,2,1,0.0,-0.00999999999476131,False,False,0.0,0.0
58,2024-05-29 01:03:46,67680.0,67680.01,67680.0,67680.01,2024-05-29 01:03:46,0.08319467549715408,0.02773155849905136,0.02773155849905136,0.025105538921945742,True,False,Sell,67680.004,67685.7585,0.2487562188958634,0,2,0.0,-0.00999999999476131,False,False,0.1999999993131496,19.99999993131496
59,2024-05-29 01:03:47,67680.01,67680.01,67680.0,67680.01,2024-05-29 01:03:47,0.08319467549715408,0.05546311699810272,0.05546311699810272,0.035662401543515666,False,False,Hold,67680.00600000001,67685.0585,0.16597510364765355,1,3,0.00999999999476131,0.0,False,False,0.20000000076834112,1.4551915228366852e-07
